date,sku,name,url,price,stock,availability,model,memory_gb,brand,rolling_median,ever_min,is_sale,is_low,pct_off
2025-10-13,6783,Raspberry Pi Official USB Keyboard with USB Hub - Red/White,https://www.microcenter.com/product/613556/raspberry-pi-official-usb-keyboard-with-usb-hub-red-white,16.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,16.99,False,True,
2025-10-15,6783,Raspberry Pi Official USB Keyboard with USB Hub - Red/White,https://www.microcenter.com/product/613556/raspberry-pi-official-usb-keyboard-with-usb-hub-red-white,16.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,16.99,False,True,
2025-10-13,6791,Raspberry Pi Official USB Keyboard with USB Hub - Black/Gray,https://www.microcenter.com/product/613557/raspberry-pi-official-usb-keyboard-with-usb-hub-black-gray,16.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,16.99,False,True,
2025-10-15,6791,Raspberry Pi Official USB Keyboard with USB Hub - Black/Gray,https://www.microcenter.com/product/613557/raspberry-pi-official-usb-keyboard-with-usb-hub-black-gray,16.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,16.99,False,True,
2025-10-13,6817,Raspberry Pi Official Raspberry Pi Optical USB Mouse - Red/White,https://www.microcenter.com/product/613558/raspberry-pi-official-raspberry-pi-optical-usb-mouse-red-white,7.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,7.99,False,True,
2025-10-15,6817,Raspberry Pi Official Raspberry Pi Optical USB Mouse - Red/White,https://www.microcenter.com/product/613558/raspberry-pi-official-raspberry-pi-optical-usb-mouse-red-white,7.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,7.99,False,True,
2025-10-13,6825,Raspberry Pi Official Raspberry Pi Optical USB Mouse - Black/Grey,https://www.microcenter.com/product/613559/raspberry-pi-official-raspberry-pi-optical-usb-mouse-black-grey,7.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,7.99,False,True,
2025-10-15,6825,Raspberry Pi Official Raspberry Pi Optical USB Mouse - Black/Grey,https://www.microcenter.com/product/613559/raspberry-pi-official-raspberry-pi-optical-usb-mouse-black-grey,7.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,7.99,False,True,
2025-10-13,690578,Raspberry Pi 5 M.2 Hat,https://www.microcenter.com/product/671943/raspberry-pi-5-m2-hat,17.99,Buy In Store,In-Store Pickup,Pi 5,,Raspberry Pi,,17.99,False,True,
2025-10-15,690578,Raspberry Pi 5 M.2 Hat,https://www.microcenter.com/product/671943/raspberry-pi-5-m2-hat,17.99,Buy In Store,In-Store Pickup,Pi 5,,Raspberry Pi,,17.99,False,True,
2025-10-13,698605,Raspberry Pi Zero WH - with Pre-Soldered Headers;  Broadcom BCM2835 Microprocessor;  512MB RAM;  Bluetooth 4.1;  Mini HDMI and USB On-The-Go ports,https://www.microcenter.com/product/502843/raspberry-pi-zero-wh-with-pre-soldered-headers,15.99,Buy In Store,Buy In Store,Accessory,0.5,Raspberry Pi,,15.99,False,True,
2025-10-15,698605,Raspberry Pi Zero WH - with Pre-Soldered Headers;  Broadcom BCM2835 Microprocessor;  512MB RAM;  Bluetooth 4.1;  Mini HDMI and USB On-The-Go ports,https://www.microcenter.com/product/502843/raspberry-pi-zero-wh-with-pre-soldered-headers,15.99,Buy In Store,Buy In Store,Accessory,0.5,Raspberry Pi,,15.99,False,True,
2025-10-13,713586,Raspberry Pi Sense HAT,https://www.microcenter.com/product/681577/raspberry-pi-sense-hat,29.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,29.99,False,True,
2025-10-15,713586,Raspberry Pi Sense HAT,https://www.microcenter.com/product/681577/raspberry-pi-sense-hat,29.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,29.99,False,True,
2025-10-13,720128,Raspberry Pi 5 Desktop Kit - 8GB,https://www.microcenter.com/product/682123/raspberry-pi-5-desktop-kit-8gb,139.99,Buy In Store,In-Store Pickup,Pi 5,8.0,Raspberry Pi,,139.99,False,True,
2025-10-15,720128,Raspberry Pi 5 Desktop Kit - 8GB,https://www.microcenter.com/product/682123/raspberry-pi-5-desktop-kit-8gb,139.99,Buy In Store,In-Store Pickup,Pi 5,8.0,Raspberry Pi,,139.99,False,True,
2025-10-13,733642,Raspberry Pi Pico 2;  Dual ARM Cortex M33 Processor;  520KB RAM,https://www.microcenter.com/product/683268/raspberry-pi-pico-2,3.99,In Stock,Usually ships,Pico 2,,Raspberry Pi,,3.99,False,True,
2025-10-15,733642,Raspberry Pi Pico 2;  Dual ARM Cortex M33 Processor;  520KB RAM,https://www.microcenter.com/product/683268/raspberry-pi-pico-2,3.99,In Stock,Usually ships,Pico 2,,Raspberry Pi,,3.99,False,True,
2025-10-13,734038,Raspberry Pi AI Camera,https://www.microcenter.com/product/683271/raspberry-pi-ai-camera,77.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,77.99,False,True,
2025-10-15,734038,Raspberry Pi AI Camera,https://www.microcenter.com/product/683271/raspberry-pi-ai-camera,77.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,77.99,False,True,
2025-10-13,734046,Raspberry Pi USB 3.0 Hub USB C,https://www.microcenter.com/product/683363/raspberry-pi-usb-30-hub-usb-c,14.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,14.99,False,True,
2025-10-15,734046,Raspberry Pi USB 3.0 Hub USB C,https://www.microcenter.com/product/683363/raspberry-pi-usb-30-hub-usb-c,14.99,In Stock,Usually ships,Accessory,,Raspberry Pi,,14.99,False,True,
2025-10-13,734053,Raspberry Pi 5;  Broadcom BCM2712 Quad-Core Cortex-A76;  2GB LPDDR4X RAM,https://www.microcenter.com/product/683269/raspberry-pi-5,39.99,Buy In Store,In-Store Pickup,Pi 5,2.0,Raspberry Pi,,39.99,False,True,
2025-10-15,734053,Raspberry Pi 5;  Broadcom BCM2712 Quad-Core Cortex-A76;  2GB LPDDR4X RAM,https://www.microcenter.com/product/683269/raspberry-pi-5,39.99,Buy In Store,In-Store Pickup,Pi 5,2.0,Raspberry Pi,,39.99,False,True,
2025-10-13,734152,Raspberry Pi Raspberry Pi Zero W 2 with Headers,https://www.microcenter.com/product/683270/raspberry-pi-raspberry-pi-zero-w-2-with-headers,17.99,Buy In Store,In-Store Pickup,Accessory,,Raspberry Pi,,17.99,False,True,
2025-10-15,734152,Raspberry Pi Raspberry Pi Zero W 2 with Headers,https://www.microcenter.com/product/683270/raspberry-pi-raspberry-pi-zero-w-2-with-headers,17.99,Buy In Store,In-Store Pickup,Accessory,,Raspberry Pi,,17.99,False,True,
2025-10-13,740027,Raspberry Pi 5 4GB Starter Kit - With Official Accessories,https://www.microcenter.com/product/683915/raspberry-pi-5-4gb-starter-kit-with-official-accessories,129.99,In Stock,Usually ships,Pi 5,4.0,Raspberry Pi,,129.99,False,True,
