sku,name,price,availability,stock,url
826859,Raspberry Pi Mini HDMI Male to HDMI Female - 0.5 ft,$3.99,Usually ships,In Stock,https://www.microcenter.com/product/690852/raspberry-pi-mini-hdmi-male-to-hdmi-female-05-ft
713586,Raspberry Pi Sense HAT,$29.99,Usually ships,In Stock,https://www.microcenter.com/product/681577/raspberry-pi-sense-hat
412205,Raspberry Pi Pico W;  RP2040 32-bit Cortex M0+ Dual Core Processor;  264KB RAM,$4.99,Buy In Store,Buy In Store,https://www.microcenter.com/product/650108/raspberry-pi-pico-w
412197,Raspberry Pi Pico WH - Pico Wireless with Headers Soldered;  RP2040 32-bit Cortex M0+ Dual Core Processor;  264KB RAM,$5.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/650109/raspberry-pi-pico-wh-pico-wireless-with-headers-soldered
619874,Raspberry Pi 5 Display Cable - 300mm,$2.99,In-Store Pickup,Buy In Store,https://www.microcenter.com/product/671937/raspberry-pi-5-display-cable-300mm
188631,Raspberry Pi 4 Case Fan,$4.99,Usually ships,In Stock,https://www.microcenter.com/product/628750/raspberry-pi-4-case-fan
892919,Raspberry Pi Mouse 2 - (White),$7.99,Usually ships,In Stock,https://www.microcenter.com/product/697848/raspberry-pi-mouse-2-(white)
6791,Raspberry Pi Official USB Keyboard with USB Hub - Black/Gray,$16.99,Usually ships,In Stock,https://www.microcenter.com/product/613557/raspberry-pi-official-usb-keyboard-with-usb-hub-black-gray
826867,Raspberry Pi White Mini HDMI to HDMI - 1 meter,$3.99,Usually ships,In Stock,https://www.microcenter.com/product/690853/raspberry-pi-white-mini-hdmi-to-hdmi-1-meter
531947,Raspberry Pi HQ Lens M12;  12 Megapixel;  Wide Angle Lens,$39.99,Usually ships,In Stock,https://www.microcenter.com/product/662035/raspberry-pi-hq-lens-m12
212894,Raspberry Pi DigiAMP,$29.99,Usually ships,In Stock,https://www.microcenter.com/product/631851/raspberry-pi-digiamp
